Post Shortcode,Commenter Username,Comment Text
C1SSUZHt8iI,makinat_shqiptare_off,Rip ti ket len uraten vodafonit 😂
C1SSUZHt8iI,_eneida_23,Oo sa mire ia kane bere ….😂😂..po dora e shtetit  fshihet mbas ketyre ..pseudo hajdute
C1SSUZHt8iI,gocadikujte,Bravo JOQ per kete super mesazh 👏🤝🇦🇱🥰
C1SSUZHt8iI,0seventyone,"Cu be , cfare ndodhi ??"
C1SSUZHt8iI,adleintoli,Nga 4 kompani  qe ishin para 2013 perfundum me 1
C1SSUZHt8iI,monika_mazari_,"Kjo one qe ishte kompani hajdute kete e dinim , po shifni ca do behet me cmimet e vodafone tani qe do jet kompani e vetme 🤷🏻‍♀️"
C1SSUZHt8iI,azganferatii,Naj dyqan tna e shesin me gjys cmimi jan ok?
C1SSUZHt8iI,tila.kaseja,Sa mir e pska ber
C1SSUZHt8iI,sai_mira_,Rip ne te .... shkofshin ishalla rrug pa kthim
C1SSUZHt8iI,toni_mmv,"Ne jemi me te vertete popull injorant! Gezohemi per nje te keqe qe po ne do ta vuajme! Nuk jemi te zotet te kerkojme llogari dhe kenaqemi me nje sulm kibernetik! Imagjinoni me mijra abonente ne ""blackout""!!!"
C1SSUZHt8iI,ardit.hasa,Ishalla se kam ca fatura pa paguar se jam jashtetit😂😂
C1SSUZHt8iI,fsfe_0001,Haha
C1SSUZHt8iI,marsi_0803,Sa per te qeshur
C1SSUZHt8iI,amelda_hamzaj,Ooooo one po si ike ti na le vetemmmm oiiiiiiiiiiiii ne paten shum besim tek ti oiiiiiiiiiii ah one na dogje zemren oneeeee
C1SSUZHt8iI,hibeautycosmetic,Si kto si vodafone ta riaktivizojne kontraten automatikisht edhe sikur ta kesh pasur vetem per 1 vit ose 6 muaj.
C1SSUZHt8iI,l.e.a64,Na paste lene uraten..e ne koke te vodafonit tani se ka mbet ushtari fundit 😂😂😂
C1SSUZHt8iI,argitallani,Presim rradhën e Vodafone… ai duhet të ishte më parë në këtë gjendje!
C1SSUZHt8iI,1lda___,Ishalla e ka mas qafe vodafoni !
C1SSUZHt8iI,kejsii_hysa,😂😂
C1SSUZHt8iI,mario_tattoo_kurani,Ne kok te vodafonit tani ishalla
C1SSUZHt8iI,anairda1307,Kur u be varrimi??
C1SSUZHt8iI,eliimonaco,😂😂😂😂😂 wtf😮
C1SSUZHt8iI,ervispanxhi,Ishalla i ndodh edhe vodafonit😂😂😂
C1SSUZHt8iI,klea_visha1,Po mu pse m punon akoma numri?
C1SSUZHt8iI,hartberg_1994,😂😂😂
C1SSUZHt8iI,edlira_domi,Po u mbydh dhe Vodafoni si do komunikojm ne qe te gjith urojne ishalla mbydhet dhe vodafoni
C1SSUZHt8iI,_r.dj_5,I qofte i lehte dheu😂😂
C1SSUZHt8iI,lusi.cako,Ndoshta RIP eshte e kunderta ! Zakonisht mbasi vjedhin krijojne dhe nje potere te tille per te humb gjurmet!
C1SSUZHt8iI,ben_kuksi,"Kshtu esh kur shteti jua shet si kompani e huaj,ne te vertet mostrat ne Shqipri e kane prandajtallen me ju"
C1SSUZHt8iI,hb_erj0n,😂😂😂😂😂
C1SSUZHt8iI,_edda_87_,Riiiipppppp
C1SSUZHt8iI,1lda___,Ishalla e ka marrë kemben zvarrë per vodafonin 🫡🫡
C1SSUZHt8iI,flaviovecani,"Un nuk kisha ankesa per kete kompani,
Vodafoni eshte me mut se kjo"
C1SSUZHt8iI,gjergji.tako,Sa me there e gropiseshin dhe ne kok te Vodafone
C1SSUZHt8iI,nertila_thuqi,"Une kisha vetem 15 dit te mbetura per te paguar se e prisha kontraten ne gjys muaji por per te qene korrekt vajta per ti paguar kur aty me thane qe do mbyllesh muajin e plote...as e mora mundimin ti paguaja,se cfare do behet se di"
C1SSUZHt8iI,albert_tomaa,Pushoftë në paqë
C1SSUZHt8iI,olsi_meta__,😂😂
C1SSUZHt8iI,toreli_store,ishalla i bajm varrimin edhe vodafonit
C1SSUZHt8iI,henris_en,Kompani ropqire mir ja kan bo
C1SSUZHt8iI,silvjo2,Tani do behet vodafon si edi rama..skan konkurenc
C1SSUZHt8iI,flamurflavio,Sa mir
C1SSUZHt8iI,f.a.t.b.a.r.d.h,Ishalla mbyllet edhe iute edhe kredo😂
C1SSUZHt8iI,rent_car_destination,😮😮
C1SSUZHt8iI,francdsombra,Ishalla na e mbyllin kontraten hakerat...se kam qe me 1 dhjetor 2022 qe nuk ma mbyllin
C1SSUZHt8iI,marsi_gashi,"Po po por u kthye ne monopol,e do bej cte doje vodafone"
C1SSUZHt8iI,eri_beshiri_,A ja qifsha robt ksaj kompanie se na ka nxi jeten
C1SSUZHt8iI,moda_itsy_online,😂😂😂😂😂
C1SSUZHt8iI,bujar_gucia,Do ta ket ket ket kompanin on deputes ma hajne  qe do ket Europe dhe vorri do I qesin flak
C1SSUZHt8iI,sylvesterhida,Tani do i qr vodafone do i coj cmimet larte fare
C1SSUZHt8iI,louis__707,Kurva numer 1 do thot ONE
C1SSUZHt8iI,uknow_girl.20,Prdj smu bë oferta sot mu hahahhaa
C1SSUZHt8iI,ckem.iiii,Shqiptari shkret gjithmon vetem per vdekjen mendon pse nuk mendoni sa e bukur esht jeta vetem per vrasje perdhunime sherre o vella jeta osh qef 😂
C1SSUZHt8iI,_xheksoniii_21,I past lan uraten vodafonit
C1SSUZHt8iI,dreamssexual,Ktyne eshte per tju q... ropttt se hajdutaaa Jan te gjitha kompanit
C1SSUZHt8iI,no_coment_95,Ska shtet tja qr ksaj e vodafonit
C1SSUZHt8iI,ledio__r,😂😂😂😂
C1SSUZHt8iI,faik_gashi96,😂😂😂
C1SSUZHt8iI,xhoeli.m1,Thuji tvin dhe iher ktej nga vodafoni se na griu😂
C1SSUZHt8iI,j.j.i.j.i,Do flasim me telefon fiks😁
C1SSUZHt8iI,jasee_min_,👏👏👏👏
C1SSUZHt8iI,duka_florian_,hahqhhq
C1SSUZHt8iI,klevis_imani,Amin
C1SSUZHt8iI,andi_belba,Ishalla falemento one ja qisha ropte ku ti kete ikni nga kjo kompani ben oferte ik mbrenda Javes mbas 1 muaj e 10 ditesh te bllok nr te caktivizohet nuk vin thirrjet ropte te qifsha kompani hajdute
C1SSUZHt8iI,erkid_durda,Ju Paft lene kujtime te bukura  ngushellime 😂😂
C1SSUZHt8iI,hajrohalili,Po kto Jan te gjith hajduta bashk me gjith qeveritaret
C1SSUZHt8iI,klevis.mezani,Edhe 100 vite te lumtura per ne
C1SSUZHt8iI,flamurflavio,😂😂😂😂
C1SSUZHt8iI,endrrigordaniii__,Ishin ca muj pa pagujt😂
C1SSUZHt8iI,ertantanoo,I qoft shpirti ne ferr plerat
C1SSUZHt8iI,linda_trips4fun.albania,Po e vertete mua me ka ndodhur
C1SSUZHt8iI,eri_madani18,Dhe vodafoni i njejt eshte
C1SSUZHt8iI,babi_eli_bobe,Na plasi kari une pi fanta
C1SSUZHt8iI,albishehu5,Erdhi dita per kta ordinerat te marin denimin emerituar
C1SSUZHt8iI,laert_gjoka,Perralla me mbret
C1SSUZHt8iI,mobileri_tegu,👏 aleluja
C1SSUZHt8iI,mario.dervi,Ka falimentuar?
C1SSUZHt8iI,d.brinja6,Hahahahahahahahahhahaha😂😂😂
C1SSUZHt8iI,charrisgirls___,😂😂😂😂😂
C1SSUZHt8iI,fatjonlazri_mirditor,Rip
C1SSUZHt8iI,gentiantuci,Monopol te fala diktatures 😂😂😂😂
C1SSUZHt8iI,miri_leci,@jeta_93gj 😂
C1SSUZHt8iI,gezim.buci,Kshu eshte dhe vodafoni njesoj
C1SSUZHt8iI,eri_xhaferi_,Në të sëmës 👋🤡
C1SSUZHt8iI,alb_aliu,😂😂😂😂😂😂😂😂
C1SSUZHt8iI,y.k.gj.66608893,Po si i behet per ne qe kemi nr one?
C1SSUZHt8iI,vefimullisi,😂😂😂
C1SSUZHt8iI,shtepiadetergjentve,Ahahhahahahha
C1SSUZHt8iI,marios__kullolli,A do bojn buke per varrim a jo 😂
C1SSUZHt8iI,gazii_papa,Te dyja kompanit jan njesoj 😢😢😢😢
C1SSUZHt8iI,antongjoka1,😂😂😂😂😂
C1SSUZHt8iI,ergi___1,JOQ pertej cdo imagjinate 😂😂😂
C1SSUZHt8iI,lenci3642,Prit er se i kam 1 muj pa likujdu mos e varros 😂😂
C1SSUZHt8iI,shpresa__lekaj,Rip
C1SSUZHt8iI,andi_and1,"Nuk besonim ne,ishim skeptike ne 😏"
C1SSUZHt8iI,klea_aa08,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
C1SSUZHt8iI,sadagentian,Sot e gjeten me falimentu keto mooo😡😡 Sa i hodha dje 2 mij lek 🤦🏻‍♂️
C1SSUZHt8iI,martin_dervishaj,Jo se su mbyll
C1SSUZHt8iI,viktor_ndoj_,Edhe Vodafoni
C1SSUZHt8iI,ermir_maka5,Sa lek lihen per kto raste 😂
C1SSUZHt8iI,its__eri21,Ja hodha un qe pata gati 3 muaj pa e paguar kontraten😂😂🫡
C1SSUZHt8iI,reci_algers,U doka 10€ perqok 😂
C1SSUZHt8iI,eenushiiiii,🔥
C1SSUZHt8iI,m.alketa,👏👏👏👏
C1SSUZHt8iI,a_gj76,Past drit🙌 do te na mungoje shum
C1SSUZHt8iI,mig3na_,A prisni ngushellime dhe ku behen
C1SSUZHt8iI,rim_sallaku,Ju lumt hakrave 👏
C1SSUZHt8iI,sokol.sullaj,Kush shteti apo kush ...
C1SSUZHt8iI,angjelo_25,Na ka dhan ofert❤️
C1SSUZHt8iI,hrn_l_,Do zoti merr dhe vodafonin me vete. Amin 🙏
C1SSUZHt8iI,enea_rajan_,Ishalla amin se na cmenden keta plerat
C1SSUZHt8iI,nikorabeli,Ka Zot 👏👏👏
C1SSUZHt8iI,luigjjaku,"Shtoja ketu edhe call center te Vodafone-Italia qe ndodhen ne Tirane. Qe vetem rrejn edhe manipulojne gjate gjithe kohes, me ne Shqiptaret qe jetojmë ketu.Dhe per kete jemi tu pergadite denincim direkt tek shteti Italian."
C1SSUZHt8iI,mozi.troka.1,Tju ket len uraten ... tju vim per te mira😂
C1SSUZHt8iI,exellentcleaning.al,Yyyyy one leshit
C1SSUZHt8iI,hasim_allaraj,Riiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiippppppppppp
C1SSUZHt8iI,ferit_haxhiu,Ja qifsha n....
C1SSUZHt8iI,klevis_50,Ok të gjitha gocat që duan të marrin follow'ërsa të komentojnë ke Joq😂😂
C1SSUZHt8iI,a_tusha777,Ska si vodafoni ropt 😂❤️ i pavdekshem
C1SSUZHt8iI,ahmetaj.mustafa,Ne koke te vodafonit
C1SSUZHt8iI,ballagaz,Duhet ta kishin gropos me koh kompani e degjenerume kërkon lek nga AMC ja qe jan kompani tjeter per tjeter po shteti kafaj se ka pjesëtarin e vet ose ushtarin e vet
C1SSUZHt8iI,_a_la12,Shumë shpejt nuk do na hyjë në punë as Vodafone. Ka punuar Musk para këtyre.
C1SSUZHt8iI,ballagaz,Hajt se mos bleni karta punoni me vifi tashti ci don internet ka ku tshkosh
C1SSUZHt8iI,enklajd_16,Amin hhaahahah😂 komenti me lot
C1SSUZHt8iI,d.e.t_o_ko_zgjani,"Black out do jete cdo biznes dhe tere Shqipria dhe per pak. Gezoni njeres , por dardha e ka bishtin prapa."
C1SSUZHt8iI,sel_man.hasani,"Unë kam një vit që jam në Francë, dhe këta to One akoma më dërgojnë fatuea"
C1SSUZHt8iI,d3daj777,hajde per ne pidh te nenes ju qoft mir jau kan ba ktyre kopilave
C1SSUZHt8iI,illyrian_blood_84_al,Ore ska faj kompania  Jan operatoret p9😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
C1SSUZHt8iI,micani_margarita,Tani do ti coje cmimet ne stratosfere vodafoni
C1SSUZHt8iI,cookboy.online,Pshtova shyqyr
C1SSUZHt8iI,b__krasniqi,I duket vetja se ka ber ndonje heroizem sa puntor kan ngel pa pune kte e kan menduar Pse nuk fshiu OSHEE apo Uk ka mijra njereez qe kan mbetur peng aty Se ka menduar sa njerez kan nr One e punojn e i duhet telefoni e ju dilni ktu i beni lavdi Nuk zgjidhen ne kte menyr gjerat Mos duartrokisni krimin o njerez
C1SSUZHt8iI,eldi_barista,Jane  skandal  perfiton me kontrat one more plus 1200 .per 900 lek me than  pranova  dhe  ne fature me vinte 1200 mij  nuk u be zbritje asnnje heree  tani prapa djellit vavte ishalla zdel anji fature
