Video ID,Author,Comment
PvlhJPtEstA,@orakulli,Lesh me Tre
PvlhJPtEstA,@andibleta4769,"Lajme vari lesht 
lajme per nje bandit, 
nuk japin  lajme per social ,kanal koti fare"
PvlhJPtEstA,@suzanafezga655,"Nuk quhen zjusha, po mesuese."
PvlhJPtEstA,@pellumbllanaj4543,Poktas bullizim e shum te tjera qe i perdorin politikanet dhe gazeraret
PvlhJPtEstA,@arjanhysa887,"Perralla me mbret ndarja e ciftit 😅Meta-Monika. E bejn sepse i doli boja, kjo eshte nje loj, per te shpetuar lekuren politike, sepse jan karta te djegura."
PvlhJPtEstA,@devisdigirolamo4465,Hip Ketu te shikosh stambollin-hokej
PvlhJPtEstA,@lirivata1620,Te dashur atdhetar ngruhuni dhe i shporrni keta hajdut kriminel genjeshtar
PvlhJPtEstA,@gertikonomi2234,TOP-CHENELL Kur....rvash
PvlhJPtEstA,@toninvuka76,mir moj mesuese fjala okej nuk eshte shqip fjala shqip eshte dakort jo okej
PvlhJPtEstA,@75luani,o duhet tju vrasin fare ju grave shkatrruat familjet
PvlhJPtEstA,@Gege9966,Ilir meta .nana e korrupsionin
PvlhJPtEstA,@bujarbraka3436,"O ilir muta o super injorante.mier toka shqiptare qe te mban,se populli nuk te do."
WDk0jy-CiLs,@nikolamuzic1432,Është një pseftomanis aktiv ...
WDk0jy-CiLs,@arturalixhepi,Ma beri enveri me dore dhe une e injorova !!! Pak si delirante 😁
WDk0jy-CiLs,@luliosmani6830,"Bravo avokat 
Je I vertete si askush"
WDk0jy-CiLs,@marianavivanco4152,CIFUT
WDk0jy-CiLs,@fitimkeca2430,"Po kush e beson ket mut, ky është vetëm një cop llafazan."
WDk0jy-CiLs,@user-zs8qv5vb1w,"Avokat ne diktature 😅
Ku kishte avokati atehere?  
Babai ja solli at rregjim
Ta gezonin sic e gezuan"
WDk0jy-CiLs,@user-kc4ke5ej5j,borgjezia diktatoriale ne disfate
WDk0jy-CiLs,@user-ir3hb5rs5g,Mos keqen agjent I qeverisë
WDk0jy-CiLs,@flamurzhitia7007,"Berisha pd,ps,lsi klysht e moskovit e serrbogreqie"
WDk0jy-CiLs,@flamurzhitia7007,Rrespekt SPARTAK NGJELA 🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱
WDk0jy-CiLs,@user-dq4zm7dd1f,O taku ...po te ishe i ri ...si thu ..i gojore sprint 😂😂😂😂😂😂😂😂
WDk0jy-CiLs,@timidullaj6735,"KJO GRIDA KA PROBLEM ME VETVETEN.
ASH BA ASHT E LEKUR
NGA INATET,SMIRA.
AS SI DEPUTETE
AS SI GAZETARE
ATJE MBYLL SYRIN
KTU MBYLL INTUITEN"
WDk0jy-CiLs,@aidaqoshja9488,Oooooky ashte I madh
